intentId,contestId,candidateId,amount,status,createdAt
0COSJ2WI5gDkKEfXOPzQ,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T22:42:33.235Z
0eQpGvLU505tMyJ42Z7j,votes-artistes,TXBLgEfug2LJqx5MXWe4,100,pending,2025-12-15T15:41:57.332Z
0egg6YDjGeJWUoeOPV9E,votes-artistes,TXBLgEfug2LJqx5MXWe4,2000,pending,2025-12-15T15:07:19.582Z
0gXey68aNdeTtr9O4qpC,votes-artistes,oucOMPgDKDQR8GKDvFHJ,300,pending,2025-12-15T21:03:17.039Z
0jAmGgpjGF3bKb7GasRk,votes-artistes,TXBLgEfug2LJqx5MXWe4,4000,pending,2025-12-15T19:06:16.832Z
14GBG37w96yTpLNgTsCj,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T10:02:13.717Z
14W4GGdy5sneKTgIFB6n,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T09:43:19.975Z
1H07CaN4X1cGS8EB6DVI,votes-artistes,GEVWzgnMyTnavWjEa6pg,200,pending,2025-12-15T08:06:39.792Z
1JXalAkiLVsFvk1D1DRb,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T20:52:03.667Z
1ROaUBNlt5HctkT0vwzR,votes-artistes,GEVWzgnMyTnavWjEa6pg,500,pending,2025-12-15T22:14:37.724Z
1lpCzAHxXZkfRdwYks1G,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T14:41:56.044Z
1oGWcWemBIPvon0xtIZT,votes-artistes,GEVWzgnMyTnavWjEa6pg,100,pending,2025-12-15T18:47:43.480Z
1uGBSkmxJtmwsADD2Qef,votes-artistes,81cTWJpXQxqb1LcEQ9Nd,100,pending,2025-12-16T13:08:20.972Z
1wbk9goCnedoiJmiKj02,votes-artistes,oucOMPgDKDQR8GKDvFHJ,100,pending,2025-12-15T16:31:56.056Z
1xhNEuNaVzJHeCfeqltq,votes-artistes,GEVWzgnMyTnavWjEa6pg,300,pending,2025-12-15T11:44:28.071Z
29j7CzVPobEOYzjJMe1v,votes-artistes,TXBLgEfug2LJqx5MXWe4,200,pending,2025-12-15T21:05:40.113Z
2TQxivYyzVYv2cx90jKu,votes-artistes,RIAr7Uw1uo74gAhWWM9c,200,pending,2025-12-16T07:44:23.781Z
2vbqFZR43mcERxrhTzCc,votes-artistes,8ELIXFDTdljYr37syNyv,400,pending,2025-12-15T16:21:28.433Z
